"","Feature1","Feature2","Correlation"
"74134","TCGA-14-1823-01A-01D-0595-05","TCGA-19-0962-01B-01D-0521-05",0.932612258525608
"3491","TCGA-14-1453-01A-01D-0521-05","TCGA-14-1453-01A-01D-0521-05",1
"32723","TCGA-14-1453-01A-01D-0521-05","TCGA-27-2528-01A-01D-0788-05",0.902585093654692
"22631","TCGA-14-1453-01A-01D-0521-05","TCGA-19-2620-01A-01D-0915-05",0.90141082377706
"3840","TCGA-02-2470-01A-01D-0788-05","TCGA-02-2470-01A-01D-0788-05",1
"88056","TCGA-02-2470-01A-01D-0788-05","TCGA-27-2527-01A-01D-0788-05",0.966055223849294
"91188","TCGA-02-2470-01A-01D-0788-05","TCGA-12-1096-01A-01D-0521-05",0.96596864043306
"4189","TCGA-41-2572-01A-01D-1228-05","TCGA-41-2572-01A-01D-1228-05",1
"32725","TCGA-41-2572-01A-01D-1228-05","TCGA-27-2528-01A-01D-0788-05",0.936776499164959
"19153","TCGA-41-2572-01A-01D-1228-05","TCGA-32-2638-01A-01D-0915-05",0.936026985486339
"4538","TCGA-06-0137-01A-03D-0218-05","TCGA-06-0137-01A-03D-0218-05",1
"61262","TCGA-06-0137-01A-03D-0218-05","TCGA-14-1402-01A-01D-0521-05",0.927692763751561
"4886","TCGA-06-0137-01A-03D-0218-05","TCGA-12-0819-01A-01D-0392-05",0.924739280425185
"4887","TCGA-12-0819-01A-01D-0392-05","TCGA-12-0819-01A-01D-0392-05",1
"42819","TCGA-12-0819-01A-01D-0392-05","TCGA-02-0057-01A-01D-0186-05",0.941070160619115
"61263","TCGA-12-0819-01A-01D-0392-05","TCGA-14-1402-01A-01D-0521-05",0.940351695299583
"5236","TCGA-02-0113-01A-01D-0199-05","TCGA-02-0113-01A-01D-0199-05",1
"90148","TCGA-02-0113-01A-01D-0199-05","TCGA-06-2566-01A-01D-0788-05",0.937933514564593
"58480","TCGA-02-0113-01A-01D-0199-05","TCGA-02-0027-01A-01D-0186-05",0.937682931873055
"5585","TCGA-32-4209-01A-01D-1228-05","TCGA-32-4209-01A-01D-1228-05",1
"88061","TCGA-32-4209-01A-01D-1228-05","TCGA-27-2527-01A-01D-0788-05",0.955756732693228
"1061","TCGA-32-4209-01A-01D-1228-05","TCGA-02-0107-01A-01D-0199-05",0.950580436376144
"5934","TCGA-02-0099-01A-01D-0199-05","TCGA-02-0099-01A-01D-0199-05",1
"35514","TCGA-02-0099-01A-01D-0199-05","TCGA-14-0813-01A-01D-0392-05",0.919222827216034
